deviceid;createdAt;latitude;longitude
2c002e000f47373334363431;2018-10-18T20:14:07.134Z;56.14078097017511;10.198879148328967
310051000d50483553343720;2018-10-18T20:59:46.815Z;56.14184411723582;10.193014243537817
39002b000d50483553343720;2018-10-18T19:22:17.336Z;56.14350296250973;10.189427978847233
210033000247373334363431;2018-10-18T19:50:39.092Z;56.14357170396105;10.208158695531985
30003d001050483553343720;2018-10-18T15:59:18.801Z;56.14906329979797;10.209963068386937
3f002f000647373334363431;2018-10-18T15:27:08.964Z;56.15288239839068;10.21851327137194
290024000f47373334363431;2018-10-18T18:47:43.193Z;56.15312510847502;10.183171973955464
290025000f47373334363431;2018-10-18T18:20:01.248Z;56.15928363724197;10.182704297497503
1a0026000747373334363431;2018-10-18T13:09:45.442Z;56.16104949666613;10.212431893700739
3e0027000247373334363431;2018-10-18T12:39:07.742Z;56.16330597489461;10.210567474799964
1f002a000d50483553343720;2018-10-18T17:34:08.913Z;56.16356251371203;10.186130968496354
3a0025000a47373334363431;2018-10-18T13:40:24.807Z;56.16549876390791;10.226171581257232
2d001d001547373333353132;2018-10-18T13:40:53.255Z;56.16553686624309;10.22616245250748
260027000f47373334363431;2018-10-18T12:06:41.341Z;56.16755225217218;10.207023634669266
20004c000d50483553343720;2018-10-18T16:52:05.860Z;56.169874138994494;10.195597247110486
260037000f47373334363431;2018-10-18T06:17:16.682Z;56.17214010056752;10.188424879948926
2b002a000f47373334363431;2018-10-18T11:33:31.347Z;56.17295657256616;10.203568048217855
43002e000d47373334363431;2018-10-18T14:34:34.278Z;56.17722878978858;10.229688664325291
1b002b000747373334363431;2018-10-18T10:31:00.259Z;56.17960186701277;10.199614413251426
1d0022000747373334363431;2018-10-18T10:02:36.335Z;56.184226031644336;10.195874864589577
49004d000d50483553343720;2018-10-18T22:03:50.907Z;56.18805807272805;10.010596865091141
35002b000d50483553343720;2018-10-18T09:26:43.329Z;56.18902917020661;10.192113908848787
33001d001547373333353132;2018-10-18T08:51:27.700Z;56.19325661721611;10.187255649776702
1f0039000b47373334363431;2018-10-18T08:06:52.672Z;56.20102085196416;10.181132610823697